Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.441","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.707","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.911","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.089","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","37.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","27.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","19.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","20.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","1.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","0.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","0.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","008","Albanie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","0.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.763","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","3.822","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","3.796","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","3.76","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.496","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.964","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.493","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.699","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.979","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.132","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","35.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","33.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","31.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","30.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","14.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","14.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","13.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","012","Algérie","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","13.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","2.786","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","2.917","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","2.881","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","3.025","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.235","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.666","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.301","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.816","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.714","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.052","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","276","Allemagne","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","4.327","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.293","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.352","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.534","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.839","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.011","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.395","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","1.199","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.717","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.166","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","92.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","93.4","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","93.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","94.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","27.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","28.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","29.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","024","Angola","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","31","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.717","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.778","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.647","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.328","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","1.019","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.811","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.134","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","660","Anguilla","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","4.112","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.302","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.391","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.504","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.604","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.682","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.429","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","1.279","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","1.003","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.115","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2017","2017","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2018","2018","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2019","2019","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","028","Antigua-et-Barbuda","6132","Valeur","7006","Number of people unable to afford a healthy diet (million)","2020","2020","millions","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.441","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","3.663","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","3.888","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.148","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7007","Cost of starchy staples","2017","2017","PPP dollar per person per day","0.457","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.031","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7009","Cost of legumes, nuts and seeds","2017","2017","PPP dollar per person per day","0.303","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7010","Cost of vegetables","2017","2017","PPP dollar per person per day","0.738","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7011","Cost of fruits","2017","2017","PPP dollar per person per day","0.739","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6226","Valeur","7012","Cost of oils and fats","2017","2017","PPP dollar per person per day","0.173","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","682","Arabie saoudite","6121","Valeur","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","","O","Valeur manquante"
